threshold,tp,fp,tn,fn,precision,recall,f1
0.35000000000000003,54,81,165,0,0.4,1.0,0.5714285714285715
0.36000000000000004,54,76,170,0,0.4153846153846154,1.0,0.5869565217391305
0.37,54,71,175,0,0.432,1.0,0.6033519553072626
0.38,54,69,177,0,0.43902439024390244,1.0,0.6101694915254238
0.39,54,60,186,0,0.47368421052631576,1.0,0.6428571428571429
0.4,54,52,194,0,0.5094339622641509,1.0,0.6749999999999999
0.41000000000000003,54,48,198,0,0.5294117647058824,1.0,0.6923076923076924
0.42000000000000004,54,42,204,0,0.5625,1.0,0.72
0.43,54,33,213,0,0.6206896551724138,1.0,0.7659574468085107
0.44,54,31,215,0,0.6352941176470588,1.0,0.776978417266187
0.45,54,27,219,0,0.6666666666666666,1.0,0.8
0.46,54,21,225,0,0.72,1.0,0.8372093023255813
0.47000000000000003,54,14,232,0,0.7941176470588235,1.0,0.8852459016393442
0.48000000000000004,54,8,238,0,0.8709677419354839,1.0,0.9310344827586207
0.49,54,8,238,0,0.8709677419354839,1.0,0.9310344827586207
0.5,54,0,246,0,1.0,1.0,1.0
0.51,54,0,246,0,1.0,1.0,1.0
0.52,54,0,246,0,1.0,1.0,1.0
0.53,54,0,246,0,1.0,1.0,1.0
0.54,54,0,246,0,1.0,1.0,1.0
0.55,54,0,246,0,1.0,1.0,1.0
0.56,54,0,246,0,1.0,1.0,1.0
0.5700000000000001,54,0,246,0,1.0,1.0,1.0
0.5800000000000001,54,0,246,0,1.0,1.0,1.0
0.59,54,0,246,0,1.0,1.0,1.0
0.6,54,0,246,0,1.0,1.0,1.0
0.61,53,0,246,1,1.0,0.9814814814814815,0.9906542056074767
0.62,52,0,246,2,1.0,0.9629629629629629,0.9811320754716981
0.63,51,0,246,3,1.0,0.9444444444444444,0.9714285714285714
0.64,51,0,246,3,1.0,0.9444444444444444,0.9714285714285714
0.65,47,0,246,7,1.0,0.8703703703703703,0.9306930693069307
0.66,46,0,246,8,1.0,0.8518518518518519,0.92
0.67,46,0,246,8,1.0,0.8518518518518519,0.92
0.68,45,0,246,9,1.0,0.8333333333333334,0.9090909090909091
0.6900000000000001,42,0,246,12,1.0,0.7777777777777778,0.8750000000000001
0.7000000000000001,42,0,246,12,1.0,0.7777777777777778,0.8750000000000001
0.7100000000000001,41,0,246,13,1.0,0.7592592592592593,0.8631578947368421
0.72,40,0,246,14,1.0,0.7407407407407407,0.851063829787234
0.73,40,0,246,14,1.0,0.7407407407407407,0.851063829787234
0.74,39,0,246,15,1.0,0.7222222222222222,0.8387096774193548
0.75,38,0,246,16,1.0,0.7037037037037037,0.8260869565217391
0.76,33,0,246,21,1.0,0.6111111111111112,0.7586206896551725
0.77,31,0,246,23,1.0,0.5740740740740741,0.7294117647058824
0.78,31,0,246,23,1.0,0.5740740740740741,0.7294117647058824
0.79,29,0,246,25,1.0,0.5370370370370371,0.6987951807228916
0.8,29,0,246,25,1.0,0.5370370370370371,0.6987951807228916
0.81,29,0,246,25,1.0,0.5370370370370371,0.6987951807228916
0.8200000000000001,29,0,246,25,1.0,0.5370370370370371,0.6987951807228916
0.8300000000000001,27,0,246,27,1.0,0.5,0.6666666666666666
0.8400000000000001,27,0,246,27,1.0,0.5,0.6666666666666666
0.85,22,0,246,32,1.0,0.4074074074074074,0.5789473684210525
0.86,21,0,246,33,1.0,0.3888888888888889,0.56
0.87,18,0,246,36,1.0,0.3333333333333333,0.5
0.88,18,0,246,36,1.0,0.3333333333333333,0.5
0.89,17,0,246,37,1.0,0.3148148148148148,0.4788732394366197
0.9,14,0,246,40,1.0,0.25925925925925924,0.4117647058823529
0.91,12,0,246,42,1.0,0.2222222222222222,0.3636363636363636
0.92,10,0,246,44,1.0,0.18518518518518517,0.3125
0.93,9,0,246,45,1.0,0.16666666666666666,0.2857142857142857
0.9400000000000001,9,0,246,45,1.0,0.16666666666666666,0.2857142857142857
0.9500000000000001,7,0,246,47,1.0,0.12962962962962962,0.22950819672131148
0.9600000000000001,6,0,246,48,1.0,0.1111111111111111,0.19999999999999998
0.97,6,0,246,48,1.0,0.1111111111111111,0.19999999999999998
0.98,5,0,246,49,1.0,0.09259259259259259,0.1694915254237288
0.99,5,0,246,49,1.0,0.09259259259259259,0.1694915254237288
